Solicitante,Operador Responsável,URL,Ticket,Status,Data da solicitação,Abertura McAfee,Conclusão
 f0436758,, www.perfuramax.com.br,,Solicitado,15/01/2024,,
 f6065902,, toeictestes.com.br,,Solicitado,15/01/2024,,
 F6322846,, www.regextranslator.com,,Solicitado,15/01/2024,,
 F1806399,, www.betelenergiasolar.com.br,,Solicitado,15/01/2024,,
 f6179316,, azevedocloud.balancopadrao.com.br,,Solicitado,15/01/2024,,
 f6002136,, www.sacressolucoes.com.br,,Solicitado,15/01/2024,,
 f8186624,, agrospy.com.br,,Solicitado,15/01/2024,,
 f2222211,, www.sesibahia.com.br,,Solicitado,15/01/2024,,
 f6179316,, azevedocloud.balancopadrao.com.br,,Solicitado,15/01/2024,,
 f6179316,, azevedocloud.balancopadrao.com.br,,Solicitado,15/01/2024,,
 F8367129,C1297691, agrojax.com.br,122785,Em andamento,12/01/2024,13/01/2024,
 F3540554,C1297691, sanchesebrunoadvogados.com.br,2741909,Em andamento,12/01/2024,13/01/2024,
 f8549169,C1297691, visionsecuritizadora.com,2741912,Em andamento,12/01/2024,13/01/2024,
 f6792074,C1297691, siipe.com.br,2741913,Em andamento,12/01/2024,13/01/2024,
 f8437292,C1297691, www.tracbelagro.com.br,2741914,Em andamento,12/01/2024,13/01/2024,
 f0036459,C1297691, frechaltore.com.br,2741916,Em andamento,12/01/2024,13/01/2024,
 f0036459,C1297691, frechaltore.com.br,2741916,Em andamento,12/01/2024,13/01/2024,
 f7509957,C1297691, clinicadrmarfil.com.br,2741915,Em andamento,12/01/2024,13/01/2024,
 f0036459,C1297691, frechaltore.com.br,2741916,Em andamento,12/01/2024,13/01/2024,
 f6325257,C1297691, hml.bbuniversitarios.com.br,2741918,Em andamento,12/01/2024,13/01/2024,
 f9140329,C1338930, www.megcombustiveis.com.br,2741920,Concluido,12/01/2024,13/01/2024,13/01/2024
 f1832581,C1338930, www.inventormiguel.com,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 F3233927,C1338930, valorizefonoaudiologia.com.br,2741921,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6868276,C1338930, dpvat2022.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f7263719,C1338930, www.aheadempresarial.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f1715714,C1338930, www.medicalcenterdiagnostico.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f9818561,C1338930, www.assistjud.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6998793,C1338930, www.applausijundiai.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f1832581,C1338930, www.databoi.io,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f1832581,C1338930, www.inventormiguel.com,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f2190994,C1338930, pop-company.com.ar,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f2190994,C1338930, pop-company.com.ar,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f8713728,C1338930, detransc.licenciamento.one,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6750897,C1338930, www.agroeasy.agr.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 F7021990,C1338930, 0.0.0.0,,Improcedente,12/01/2024,,12/01/2024
 f6791802,C1338930, geralmotor.com.br,2741788,Concluido,12/01/2024,12/01/2024,12/01/2024
 f0427443,C1338930, resgate-brasil.website,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6263632,C1338930, www.adoqassessoria.com.br,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6263632,C1338930, www.adoqassessoria.com.br,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 F6635135,C1338930, andradesolucoesfinanceiras.com.br,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 f3548914,C1338930, vp.mercatus.net.br,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 f6839473,C1338930, www.cachacapremissa.com.br,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
 f7255477,C1338930, chatwoot.falecom.cloud,2741700,Concluido,12/01/2024,12/01/2024,12/01/2024
